15:05:04.101515 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
15:05:04.898580 IP6 fe80::d4a3:10ff:feef:279d > ff02::2: ICMP6, router solicitation, length 16
15:05:04.909558 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::d460:9eff:fec4:947e (138)
15:05:05.007718 IP6 fe80::e84a:3fff:fea8:da5f.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::e84a:3fff:fea8:da5f (138)
15:05:05.139783 IP6 fe80::e84a:3fff:fea8:da5f > ff02::2: ICMP6, router solicitation, length 16
15:05:05.160730 IP6 fe80::ccb3:b6ff:fec6:c78 > ff02::2: ICMP6, router solicitation, length 16
15:05:05.358848 ARP, Request who-has 10.0.0.7 tell 10.0.0.1, length 28
15:05:05.360534 ARP, Reply 10.0.0.7 is-at f6:a2:ac:27:f4:9a, length 28
15:05:05.381720 IP6 fe80::d460:9eff:fec4:947e > ff02::2: ICMP6, router solicitation, length 16
15:05:05.544753 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.544793 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.546204 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.547218 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.547219 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.548077 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.548921 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.549736 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.550620 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.551451 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.552275 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.553090 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.553966 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.554760 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.555629 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.556468 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.557280 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.558120 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.558946 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.559792 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.560646 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.561500 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.562290 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.563137 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.563971 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.564812 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.565642 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.566520 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.566566 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.568174 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.568175 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.568999 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.569832 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.570693 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.571541 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.572389 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.573198 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
